VOC,Kitti,Toy_data,Scale_data,Rotation_data,Deformation_data,Translation_data,Pretrained,Accuracy
1,0,0,0,0,0,0,1,0.4692
1,0,0,0,0,0,0,1,0.394
1,0,0,0,0,0,0,0,0.3952
1,0,0,0,0,0,0,0,0.4034
0,1,0,0,0,0,0,1,0.075
0,1,0,0,0,0,0,1,0.0815
0,1,0,0,0,0,0,1,0.0756
0,1,0,0,0,0,0,0,0.111
0,1,0,0,0,0,0,0,0.11
0,1,0,0,0,0,0,0,0.1082
0,0,1,0,0,0,0,1,0.8168
0,0,1,0,0,0,0,1,0.8179
0,0,1,0,0,0,0,1,0.8181
0,0,1,0,0,0,0,0,0.8308
0,0,1,0,0,0,0,0,0.8314
0,0,1,0,0,0,0,0,0.8302
0,0,0,1,0,0,0,1,0.6434
0,0,0,1,0,0,0,1,0.6378
0,0,0,1,0,0,0,1,0.6429
0,0,0,1,0,0,0,0,0.6455
0,0,0,1,0,0,0,0,0.646
0,0,0,1,0,0,0,0,0.6457
0,0,0,0,1,0,0,1,0.6385
0,0,0,0,1,0,0,1,0.6005
0,0,0,0,1,0,0,1,0.7394
0,0,0,0,1,0,0,0,0.5986
0,0,0,0,1,0,0,0,0.5701
0,0,0,0,1,0,0,0,0.6004
0,0,0,0,0,1,0,1,0.9294
0,0,0,0,0,1,0,1,0.928
0,0,0,0,0,1,0,1,0.9286
0,0,0,0,0,1,0,0,0.9343
0,0,0,0,0,1,0,0,0.934
0,0,0,0,0,1,0,0,0.9312
0,0,0,0,0,0,1,1,0.8574
0,0,0,0,0,0,1,1,0.8553
0,0,0,0,0,0,1,1,0.5868
0,0,0,0,0,0,1,0,0.8574
0,0,0,0,0,0,1,0,0.8567
0,0,0,0,0,0,1,0,0.8574
